webtoon_title,webtoon_author,genre_num,webtoon_available_age,webtoon_rating,webtoon_subscribe_num,webtoon_view_count,webtoon_release_day,webtoon_page_url,webtoon_thumbnail_url,platform_num
더블클릭,"박수봉, 김장훈 / 박수봉",4,0,9.93,203401.0,,1,https://comic.naver.com/webtoon/list?titleId=769663&tab=mon,https://image-comic.pstatic.net/webtoon/769663/thumbnail/thumbnail_IMAG21_935bf47d-9219-4f45-8a58-d5a7af13ce51.jpg,0
피폐물을 힐링물로 만드는 방법,류호 / 양담 / 황도톨,2,15,9.97,121825.0,,1,https://comic.naver.com/webtoon/list?titleId=826381&tab=mon,https://image-comic.pstatic.net/webtoon/826381/thumbnail/thumbnail_IMAG21_6cdb8ebe-db83-489c-8dc9-a6a619a0efdd.jpg,0
진주,"박만사, 백두 / 백승훈, 백두",1,15,9.9,59395.0,,1,https://comic.naver.com/webtoon/list?titleId=818588&tab=mon,https://image-comic.pstatic.net/webtoon/818588/thumbnail/thumbnail_IMAG21_1819294f-07f1-439c-8a25-7bd880840fef.jpg,0
우주천마 3077,산하 / 김대영 / 녹색여우,3,15,9.47,29784.0,,1,https://comic.naver.com/webtoon/list?titleId=829195&tab=mon,https://image-comic.pstatic.net/webtoon/829195/thumbnail/thumbnail_IMAG21_70e13aca-ac81-4e47-b856-6c5d8651a0c5.jpg,0
리턴 투 플레이어,레포 / 세혼 / 인덱스,5,15,9.93,249307.0,,1,https://comic.naver.com/webtoon/list?titleId=752414&tab=mon,https://image-comic.pstatic.net/webtoon/752414/thumbnail/thumbnail_IMAG21_2393ffc3-a0d0-4b3d-8291-fa3345d2d386.jpg,0
미친 재능의 플레이어,S-Nanyc / 호라칸 / 체나,5,15,9.81,79692.0,,1,https://comic.naver.com/webtoon/list?titleId=814781&tab=mon,https://image-comic.pstatic.net/webtoon/814781/thumbnail/thumbnail_IMAG21_c88e92fa-e109-47d6-8a59-912749ff3a40.jpg,0
황후의 짐승간택,LICO / 꿀밤비,2,15,9.82,68740.0,,1,https://comic.naver.com/webtoon/list?titleId=828127&tab=mon,https://image-comic.pstatic.net/webtoon/828127/thumbnail/thumbnail_IMAG21_8acf9334-4bb4-46f3-9754-c978427cda1e.jpg,0
마왕을 그만둔 이유,김대일 / 이상혁,5,15,9.81,69781.0,,1,https://comic.naver.com/webtoon/list?titleId=820897&tab=mon,https://image-comic.pstatic.net/webtoon/820897/thumbnail/thumbnail_IMAG21_90f68f1d-cc97-4357-b7e8-de994918ff8d.jpg,0
K학원 생존기,양아최,6,0,9.96,43510.0,,1,https://comic.naver.com/webtoon/list?titleId=823190&tab=mon,https://image-comic.pstatic.net/webtoon/823190/thumbnail/thumbnail_IMAG21_7e4185fa-4b5c-44e5-ba21-b39e2ab5c22b.jpg,0
루루라라 우리네 인생,현이씨,6,0,9.96,37191.0,,1,https://comic.naver.com/webtoon/list?titleId=802039&tab=mon,https://image-comic.pstatic.net/webtoon/802039/thumbnail/thumbnail_IMAG21_a7a82a34-586c-4acf-b6f2-ab052be786f1.jpg,0
숭늉버블티,솔리,2,0,9.89,21290.0,,1,https://comic.naver.com/webtoon/list?titleId=832674&tab=mon,https://image-comic.pstatic.net/webtoon/832674/thumbnail/thumbnail_IMAG21_befdeb80-3dac-4262-83b1-623d3a3a3478.jpg,0
인섹터,마카빔,5,15,9.95,135679.0,,1,https://comic.naver.com/webtoon/list?titleId=801710&tab=mon,https://image-comic.pstatic.net/webtoon/801710/thumbnail/thumbnail_IMAG21_34aa900b-b42f-4335-bb97-6e85d30db2b8.jpg,0
아직 제목 없음,주영현,1,0,9.86,17066.0,,1,https://comic.naver.com/webtoon/list?titleId=831547&tab=mon,https://image-comic.pstatic.net/webtoon/831547/thumbnail/thumbnail_IMAG21_799d631e-1aee-490e-9ef1-69fdbbef6763.jpg,0
기생몽,닺,6,15,9.78,21072.0,,1,https://comic.naver.com/webtoon/list?titleId=827160&tab=mon,https://image-comic.pstatic.net/webtoon/827160/thumbnail/thumbnail_IMAG21_dd154be9-ff45-4fef-bee5-f484a14463fe.jpg,0
시한부의 아이까지 뺏으려 합니다,랍스타 / 이루이,2,0,9.82,82908.0,,1,https://comic.naver.com/webtoon/list?titleId=814362&tab=mon,https://image-comic.pstatic.net/webtoon/814362/thumbnail/thumbnail_IMAG21_16247d91-5c88-43aa-80e3-f28b2daf868d.jpg,0
막장 악녀,LICO / 사야,1,15,9.95,39725.0,,1,https://comic.naver.com/webtoon/list?titleId=823022&tab=mon,https://image-comic.pstatic.net/webtoon/823022/thumbnail/thumbnail_IMAG21_8a4d8b18-5a10-4c82-a12f-4d6526c3c567.jpg,0
헬크래프트,나락 / 영기,5,15,9.9,65024.0,,1,https://comic.naver.com/webtoon/list?titleId=800034&tab=mon,https://image-comic.pstatic.net/webtoon/800034/thumbnail/thumbnail_IMAG21_df4c9ca5-a954-4c14-b03b-8716f5eea843.jpg,0
라서드,감람,5,15,9.97,98722.0,,1,https://comic.naver.com/webtoon/list?titleId=756140&tab=mon,https://image-comic.pstatic.net/webtoon/756140/thumbnail/thumbnail_IMAG21_50527917-4994-43dd-a584-8dfbe29094d2.jpg,0
보스리턴,양세준,4,15,9.89,29820.0,,1,https://comic.naver.com/webtoon/list?titleId=818668&tab=mon,https://image-comic.pstatic.net/webtoon/818668/thumbnail/thumbnail_IMAG21_d8573ab3-e412-4f5f-b36c-e9116e0af93c.jpg,0
꿈의 기업,문지현,6,12,9.97,119866.0,,1,https://comic.naver.com/webtoon/list?titleId=687915&tab=mon,https://image-comic.pstatic.net/webtoon/687915/thumbnail/thumbnail_IMAG21_d46ad6b8-e9a8-4bc8-b501-e62adfee0eb6.jpg,0
"사랑, 그거 어떻게 하는 건데",이범,2,12,9.96,80442.0,,1,https://comic.naver.com/webtoon/list?titleId=818020&tab=mon,https://image-comic.pstatic.net/webtoon/818020/thumbnail/thumbnail_IMAG21_26b574d9-d5b9-4001-8a50-ec348a35e61a.jpg,0
함부로 친절하지 말라,아린 / 류화 / 유세라,2,12,9.97,80442.0,,1,https://comic.naver.com/webtoon/list?titleId=821095&tab=mon,https://image-comic.pstatic.net/webtoon/821095/thumbnail/thumbnail_IMAG21_c0674c58-dcbd-4d2b-946e-936c308978ad.jpg,0
게임마스터,둥치 / Akaogi Seki,5,0,9.57,11188.0,,1,https://comic.naver.com/webtoon/list?titleId=832104&tab=mon,https://image-comic.pstatic.net/webtoon/832104/thumbnail/thumbnail_IMAG21_6f73a57c-6a4f-40fc-9ccb-cc8619a7d8a9.jpg,0
공녀님의 꽃밭에는 그들이 산다,검오리 / 영락 / 고겨울,2,0,9.88,77869.0,,1,https://comic.naver.com/webtoon/list?titleId=818528&tab=mon,https://image-comic.pstatic.net/webtoon/818528/thumbnail/thumbnail_IMAG21_0f920e3a-0a21-4a77-a606-ab8eff26004b.jpg,0
요리사가 되고 싶은 천마님,필나르 / 춘삼 / 점도리,5,12,9.85,20961.0,,1,https://comic.naver.com/webtoon/list?titleId=823536&tab=mon,https://image-comic.pstatic.net/webtoon/823536/thumbnail/thumbnail_IMAG21_4b4cdcf1-2795-40c4-b8d5-09b209638708.jpg,0
악녀교실,즛호,1,15,9.94,67711.0,,1,https://comic.naver.com/webtoon/list?titleId=814116&tab=mon,https://image-comic.pstatic.net/webtoon/814116/thumbnail/thumbnail_IMAG21_ad8a72e1-1ffa-4068-8e4c-ad524c59dfe5.jpg,0
기사식당,신의철 / 스릴,4,15,9.86,15352.0,,1,https://comic.naver.com/webtoon/list?titleId=827077&tab=mon,https://image-comic.pstatic.net/webtoon/827077/thumbnail/thumbnail_IMAG21_8ad2d767-97fe-493a-bd6e-51f562a61ec9.jpg,0
서브 남주가 파업하면 생기는 일,유삼 / 창대 / 숙임,5,0,9.96,86527.0,,1,https://comic.naver.com/webtoon/list?titleId=803518&tab=mon,https://image-comic.pstatic.net/webtoon/803518/thumbnail/thumbnail_IMAG21_f41d66d4-7f17-49c2-b32c-cff3e872476b.jpg,0
찌질하지만 로맨스는 하고 싶어,상수,2,15,9.26,55289.0,,1,https://comic.naver.com/webtoon/list?titleId=774870&tab=mon,https://image-comic.pstatic.net/webtoon/774870/thumbnail/thumbnail_IMAG21_7edc26e1-5aa3-4574-908c-d3df9b331faf.jpg,0
두 번째 삶은 힐링라이프?,당토,5,12,9.93,48495.0,,1,https://comic.naver.com/webtoon/list?titleId=819202&tab=mon,https://image-comic.pstatic.net/webtoon/819202/thumbnail/thumbnail_IMAG21_a158cef6-6248-42ee-bce7-8f4f57fc0d5f.jpg,0
여고생이 신인데 나만 괴롭힘,박장고 / 이우,1,12,9.86,50343.0,,1,https://comic.naver.com/webtoon/list?titleId=821336&tab=mon,https://image-comic.pstatic.net/webtoon/821336/thumbnail/thumbnail_IMAG21_06740ea2-da7a-4e6d-a37f-02d6121a7680.jpg,0
파운더,임상윤 / 만두인,4,15,9.91,52703.0,,1,https://comic.naver.com/webtoon/list?titleId=791205&tab=mon,https://image-comic.pstatic.net/webtoon/791205/thumbnail/thumbnail_IMAG21_4c20287b-55d8-4bb5-9db4-cbb1caf5617d.jpg,0
영앤리치가 아니야!,최삡뺩,6,0,9.96,52575.0,,1,https://comic.naver.com/webtoon/list?titleId=734574&tab=mon,https://image-comic.pstatic.net/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,0
러브 로스팅,이순기 / 이예린,2,15,9.91,58385.0,,1,https://comic.naver.com/webtoon/list?titleId=828103&tab=mon,https://image-comic.pstatic.net/webtoon/828103/thumbnail/thumbnail_IMAG21_5d02a40f-6835-4eb3-93ac-7d387f1beba1.jpg,0
녹빛자정의 연인,백작,1,15,9.97,46273.0,,1,https://comic.naver.com/webtoon/list?titleId=822193&tab=mon,https://image-comic.pstatic.net/webtoon/822193/thumbnail/thumbnail_IMAG21_69615f2c-f23a-41af-967c-0164f1ebc9a8.jpg,0
"세계 서열 0위님, 제발 그만해 주세요",Aria / 오이드럼 / 먕먕녕녕,2,0,9.96,49121.0,,1,https://comic.naver.com/webtoon/list?titleId=827290&tab=mon,https://image-comic.pstatic.net/webtoon/827290/thumbnail/thumbnail_IMAG21_ff3ab79b-4a80-48b0-9ebd-d948cf4fd18f.jpg,0
나의 보이소프렌드,망공이,1,0,9.97,36883.0,,1,https://comic.naver.com/webtoon/list?titleId=819698&tab=mon,https://image-comic.pstatic.net/webtoon/819698/thumbnail/thumbnail_IMAG21_3376cf6c-a620-4782-a002-24ea6910771d.jpg,0
악당과 악당이 만나면,삵 / 쏘가리 / 임하얌,2,12,9.96,73704.0,,1,https://comic.naver.com/webtoon/list?titleId=804782&tab=mon,https://image-comic.pstatic.net/webtoon/804782/thumbnail/thumbnail_IMAG21_4d2487bf-820c-4a8d-9008-1c558ac30d3c.jpg,0
달로 만든 아이,온윤,5,15,9.97,130990.0,,1,https://comic.naver.com/webtoon/list?titleId=784107&tab=mon,https://image-comic.pstatic.net/webtoon/784107/thumbnail/thumbnail_IMAG21_98a19f14-de9a-491d-bc11-a3103e7e671d.jpg,0
한국에서 히어로 하기 힘들더라,이해력,5,0,9.89,25400.0,,1,https://comic.naver.com/webtoon/list?titleId=829666&tab=mon,https://image-comic.pstatic.net/webtoon/829666/thumbnail/thumbnail_IMAG21_dff8a57c-42d8-4458-b045-8c0c1c4e5b20.jpg,0
다육이는 잘 자란다,도국,1,15,9.94,17401.0,,1,https://comic.naver.com/webtoon/list?titleId=820800&tab=mon,https://image-comic.pstatic.net/webtoon/820800/thumbnail/thumbnail_IMAG21_29079d87-ed89-4448-814b-dd7f54f2cf80.jpg,0
최후의 금빛아이,알깨 / 새몽,5,12,9.95,78913.0,,1,https://comic.naver.com/webtoon/list?titleId=772734&tab=mon,https://image-comic.pstatic.net/webtoon/772734/thumbnail/thumbnail_IMAG21_fdecfea5-8ca1-4a32-9c55-34a30f24266d.jpg,0
반려짐승,래형,1,12,9.95,38109.0,,1,https://comic.naver.com/webtoon/list?titleId=818810&tab=mon,https://image-comic.pstatic.net/webtoon/818810/thumbnail/thumbnail_IMAG21_4dbca925-6ea4-4561-b1b2-eb0df0089eeb.jpg,0
내가 왜 킬러?!,규잉,6,15,9.95,21738.0,,1,https://comic.naver.com/webtoon/list?titleId=819983&tab=mon,https://image-comic.pstatic.net/webtoon/819983/thumbnail/thumbnail_IMAG21_e7252603-401a-4010-b779-19308ae4968e.jpg,0
솔로스쿨,랑쓰 / 승9,2,0,9.93,40785.0,,1,https://comic.naver.com/webtoon/list?titleId=824208&tab=mon,https://image-comic.pstatic.net/webtoon/824208/thumbnail/thumbnail_IMAG21_27965ef8-729d-4ef8-972d-a01dc74df924.jpg,0
날 먹는 건 금지양!,조9,2,0,9.97,71808.0,,1,https://comic.naver.com/webtoon/list?titleId=817019&tab=mon,https://image-comic.pstatic.net/webtoon/817019/thumbnail/thumbnail_IMAG21_22cf1c1b-376e-40ee-b643-a48db411247a.jpg,0
피폐물의 해피엔딩을 위하여,호,2,0,9.95,71821.0,,1,https://comic.naver.com/webtoon/list?titleId=805437&tab=mon,https://image-comic.pstatic.net/webtoon/805437/thumbnail/thumbnail_IMAG21_b42c6ad3-4ca8-4cdb-8dfb-7671b2fea0c0.jpg,0
찔레꽃 그늘 아래,해람 / 홍이,2,15,9.92,25949.0,,1,https://comic.naver.com/webtoon/list?titleId=821763&tab=mon,https://image-comic.pstatic.net/webtoon/821763/thumbnail/thumbnail_IMAG21_e30b6d66-4e6e-4c6f-91e8-13fa3f6f8d59.jpg,0
컨트롤X,사이렌 / 서클,2,12,9.51,40648.0,,1,https://comic.naver.com/webtoon/list?titleId=812403&tab=mon,https://image-comic.pstatic.net/webtoon/812403/thumbnail/thumbnail_IMAG21_33b2a737-0fe1-41d8-b083-40220fb5c5cb.jpg,0
어쌔신 크리드 - 잊혀진 사원,"ARC, Ubisoft, NOHT / Tabii",5,15,9.89,21843.0,,1,https://comic.naver.com/webtoon/list?titleId=808760&tab=mon,https://image-comic.pstatic.net/webtoon/808760/thumbnail/thumbnail_IMAG21_1d65caac-a10d-44c5-b49d-ef1ac0b95a17.jpg,0
